name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country,category,quantity_value,quantity_unit,url
Alluvia Dark Chocolate Tablet 85% (80g),119000,VND,"Premium Dark Chocolate Alluvia 85% is handcrafted from the finest cocoa beans from Cho Gao, Tien Giang, Mekong Delta and Coconut Milk which brings you a strong and natural bitter.","Cocoa beans (80%), cane sugar (15%), cocoa butter (5%)",Directly to use,"Store in a dry and cool place between 22-40C, avoid direct sunlight",Tien Giang,DARK CHOCOLATE TABLET,80,g,https://shop.annam-gourmet.com/hcm-taka/alluvia-dark-chocolate-tablet-85-80g.html
Alluvia Gift set of 5 Chocolate Tablets (150g),315000,VND,"Alluvia Gift set of 5 choco tablets (150g) : Dark chocolate 100% sugar free, Dark chocolate Cinnamon, 40% Milk chocolate, Dark chocolate Coffee , Dark chocolate 70%","Alluvia Gift set of 5 Chocolate Tablets (150g) : Dark chocolate 100% sugar free, Dark chocolate Cinnamon, 40% Milk chocolate, Dark chocolate Coffee, Dark chocolate 70%",Directly to use,"Store in a dry and cool place between 22-240C, avoid direct sunlight",Choco,MILK CHOCOLATE TABLET,150,g,https://shop.annam-gourmet.com/hcm-taka/alluvia-gift-set-of-5-chocolate-tablets-150g.html
Alluvia Milk Chocolate Cashew Nut  100g,129000,VND,Alluvia Milk Chocolate with Cashew Nuts is a combination of two excellent Vietnamese specialties- Tien Giang cocoa beans from Mekong Delta and the Eastern Cashew Nuts to create delicious nut chocolate bars,"75% milk chocolate Alluvia (40% cocoa beans & cocoa butter, 60% sugar & dairy cream) and 25% roasted cashew nuts",Directly to use,"Store in a dry and cool place between 22-240C, avoid direct sunlight",Tien Giang,SPECIAL CHOCOLATE TABLET,100,g,https://shop.annam-gourmet.com/hcm-taka/alluvia-milk-chocolate-cashew-nut-100g.html
Alluvia Milk Chocolate Ginger  100g,129000,VND,Alluvia Dark Chocolate with Ginger is a delicate combination of two excellent Vietnamese specialties- Tien Giang cacao beans from Mekong Delta and fresh Ginger to create delicious spicy chocolate bars,"90% milk chocolate Alluvia (40% cocoa beans & cocoa butter, 60% sugar & dairy cream ) and 10% fresh Ginger",Directly to use,"Store in a dry and cool place between 22-240C, avoid direct sunlight",Tien Giang,SPECIAL CHOCOLATE TABLET,100,g,https://shop.annam-gourmet.com/hcm-taka/alluvia-milk-chocolate-ginger-100g.html
Alluvia Milk Chocolate Tablet 40%  30g,69000,VND,"Excellent Milk Chocolate Alluvia is handcrafted from the finest cocoa beans from Cho Gao, Mekong, Tien Giang","Cocoa beans & cocoa butter (40%), sugar & dairy cream (60%)",Directly to use,"Store in a dry and cool place between 22-240C, avoid direct sunlight",Tien Giang,MILK CHOCOLATE TABLET,30,g,https://shop.annam-gourmet.com/hcm-taka/alluvia-milk-chocolate-tablet-40-30g.html
Alluvia Milk Chocolate Tablet 40%  80g,130000,VND,"Excellent Milk Chocolate Alluvia is handcrafted from the finest cocoa beans from Cho Gao, Mekong, Tien Giang","Cocoa beans & cocoa butter (40%), sugar & dairy cream (60%)",Directly to use,"Store in a dry and cool place between 22-240C, avoid direct sunlight",Tien Giang,MILK CHOCOLATE TABLET,80,g,https://shop.annam-gourmet.com/hcm-taka/alluvia-milk-chocolate-tablet-40-80g.html
Alluvia Pure Cocoa Powder (150g),129000,VND,"Pure Cocoa Powder, unsweetened. The excellent pure cocoa powder is made of the best and selected cocoa beans from hight quality cocoa raw material zone of Cho Gao, Tien Giang, Mekong Delta.",Dry cocoa beans 100%,"Serving Direction: Put 1-2 spoons of pure cocoa powder into 100-200ml boiled water.
Stir well, add milk or sugar as desired, and enjoy your delicious and nutritious cup of cocoa.
Also, use this cocoa powder to make your ice cream ,jelly, chocolate and various cakes like brownie, truffle, tiramisu...","No preservative, additive, better use within 30 days after opening package. Store in a dry and cool places, avoid direct sunlight.",Tien Giang,CHOCOLATE POWDER,150,g,https://shop.annam-gourmet.com/hcm-taka/alluvia-pure-cocoa-powder-150g.html
Alluvia Sweet Chocolate Powder (200g),125000,VND,"Alluvia's fine chocolate powder is made entirely of finest cocoa beans, which are grown and selected in thr high quality raw materials of UTZ, Cho Gao and Tien Giang, then artful combination with sugar and dairy powder which give you perfect drink","100% dried cocoa beans, sugar and dairy powder","Mix 1-2 tablespoons of Alluvia chocolate powder with 100-200ml of boiling water, make delicious, nutritious drink, high energy. 
Serve as hot or cold as you like Absolutely pure, no preservatives, no additives, best used within 30 days after opening the box.","Store in a dry and cool places, avoid direct sunlight",Tien Giang,CHOCOLATE POWDER,200,g,https://shop.annam-gourmet.com/hcm-taka/alluvia-sweet-chocolate-powder-200g.html
Alluvia White Chocolate with Green Tea (80g),145000,VND,Alluvia Green tea Chocolate is a delicate combination of two excellent Vietnamese specialties- Tien Giang cocoa butter from Mekong Delta and the freshest tea buds from the Highland to create these delicious green tea chocolate bars with a light sweet taste,"Cocoa butter (33%), cane sugar (35%), dairy powder (30%) , green tea powder (2%)",Directly to use,"Store in a dry and cool place between 22-240C, avoid direct sunlight",Tien Giang,SPECIAL CHOCOLATE TABLET,80,g,https://shop.annam-gourmet.com/hcm-taka/alluvia-white-chocolate-with-green-tea-80g.html
Alpen OrigRecipe Natural Wholesome Muesli550g,351000,VND,"Enjoy our deliciously irresistible, healthy and nutritious recipe, perfectly balanced swiss style muesli*
*Reducing consumption of saturated fat contributes to the maintenance of normal blood cholesterol levels as part of a healthy diet & lifestyle.
Mountains of taste in every bowl!
Our muesli is bursting with delicious, natural ingredients. We've combined creamy rolled oats and toasted wheat flakes with roasted almonds, hazelnuts and juicy raisins to bring you a breakfast you can truly savour.","WHOLE WHEAT (39%), ROLLING WHOLE WHEAT OATS (37%), RAISINS (12%), SUGAR, SKIM MILK POWDER, WHEY PROTEIN, SLICED ROASTED NUTS (2.0%) (HASHLESS, ALMONDS), SALT.",Shake well before each use.,"Store in a cool, dry place, away from direct sunlight.",,CEREAL BOXES,550,g,https://shop.annam-gourmet.com/hcm-taka/alpen-origrecipe-natural-wholesome-muesli550g.html
