name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country,quantity_value,quantity_unit
Fanta Orange Can (320ml),9000,VND,Fanta Orange Can (320ml),"Saturated water CO2 , HFCS sugar, cane sugar, acidity regulator (330), emulsifier (1450,444), natural and natural orange flavor, preservative (211) and food color (110) ).",Can be used instantly.,"Store at room temperature, in a cool, dry place.",,320,ml
Sprite Can (320ml),9000,VND,Sprite Can (320ml),"Saturated water CO2, acidity, natural lemon flavor, preservative, cane sugar, HFCS",Can be used instantly.,"Store at room temperature, in a cool, dry place.",,320,ml
Schweppes Tonic Can (320ml),9000,VND,Schweppes Tonic Can (320ml),"Saturated water CO2, acidity regulator (500(ii))",Can be used instantly.,"Store at room temperature, in a cool, dry place.",,320,ml
Budweiser Budvar Beer (330ml),0,VND,"Budweiser Budvar uses pure mineral water taken from self-contained wells and especially the traditional fermentation time is exactly 90 days, never shortened, without adding chemicals to accelerate chemical reactions in the entire brewing process.","Water, Malt, Hops (Flower Houblon)","Budweiser Budvar delivers the perfect flavor to every drop of beer, featuring a beautiful clear bright yellow color and a mellow bitterness that melts in the mouth.","Store in a cool place, away from sunlight",,330,ml
Budweiser Beer Bottle (330ml),22000,VND,Excellent quality consistent for 143 years and available in over 80 countries,"Water, malt, rice and hop",serve chilled,"storage in dry cool place avoiding direct sunlight, excessive heat and freezing",,330,ml
Le Fruit Guava Nectar Juice (1L),62000,VND,"In the centre of Mekong Delta, we select the most delicious and freshest fruits from local family-owned farms. Guava is a traditional remedy for a variety of diseases. No surprise when it frequently tops the list of best sellers because of the featured taste.","• The percentages of ingredients including Pink Guava (27%), Cane Sugar, Lime (3%), Acerola Cherry (2%) and water.
• No added preservatives. Additive free and GMO free.","Shake well, serve chilled",Keep in a cool & dry place. Refrigerate once opened & consume within 5 days,Centre,1,L
Le Fruit Guava Nectar (260ml),38000,VND,"In the centre of Mekong Delta, we select the most delicious and freshest fruits from local family-owned farms. Guava is a traditional remedy for a variety of diseases. No surprise when it frequently tops the list of best sellers because of the featured taste.","• The percentages of ingredients including Pink Guava (27%), Cane Sugar, Lime (3%), Acerola Cherry (2%) and water.
• No added preservatives. Additive free and GMO free.","Shake well, serve chilled",Keep in a cool & dry place. Refrigerate once opened & consume within 5 days,Centre,260,ml
Le Fruit Pineapple Juice (260ml),37000,VND,"In the centre of Mekong Delta, we select the most delicious and freshest fruits from local family-owned farms. Pineapple juice is one of the most favorite products of LE FRUIT. No surprise when it frequently tops the list of best sellers because of the juicy taste.","• 100% freshly crushed fruit including Victoria Pineapple (96%), Acerola Cherry (4%).
• No added preservatives and no added sugar. Additive free and GMO free.","Shake well, serve chilled",Keep in a cool & dry place. Refrigerate once opened & consume within 5 days,Victoria,260,ml
Coca Cola Zero (330ml),41000,VND,Coke Light Taste the feeling of refreshment and enjoy the real Coca-Cola Taste with zero Calories.,"Carbonated Water, Colour (Caramel E150D), Acid (Phosphoric Acid), Sweeteners (Aspartame, Acesulfame K), Natural Flavourings Including Caffeine, Acidity Regulator (Sodium Citrate)",Best served chilled,"Store in a cool, dry place.",,330,ml
Ocean Spray Cranberry & Raspberry Juice 1L,0,VND,"We expertly blend the luscious taste of raspberries and the crisp, clean taste of our cranberries in this wonderfully refreshing drink. It’s a popular alternative to our Cranberry Classic Juice Drink and enjoyed by the whole family.","Water, Fruit Juices from Concentrate (15%) (Cranberry (7%), Grape (4%), Raspberry (4%)), Sugar, Acid (Citric Acid), Flavourings, Thickener (Pectin), Vegetable and Fruit Concentrate (Carrot, Cranberry), Vitamin C, Acidity Regulator (Sodium Citrates), Sweetener (Steviol Glycosides from Stevia)",Use directly.,Store away from direct light in a cool & dry place,Concentrate,1,L
Patritti Dark Grape Juice (750ml),142000,VND,Patritti source the grapes for their high quality juices from South Australia’s best wine regions. They contain no added sugar and no artificial colours or flavours. We take great pride in offering a healthier and family- friendly alternative for celebratory occasions.,"Dark Grape Juice (99,95%), carbon dioxide generating agent (INS 290)",Drink directly or after chilling,"Store at room temperature, in a cool, dry place.",Australia,750,ml
Patritti Apple Juice (750ml),142000,VND,Patritti source the apples for their high quality juices from South Australia’s best fruit-growing regions. They contain no added sugar and no artificial colours or flavours. We take great pride in offering a healthier and family-friendly alternative for celebratory occasions.,"Apple Juice (99,95%), carbon dioxide generating agent (INS 290)",Drink directly or after chilling,"Store at room temperature, in a cool, dry place.",Australia,750,ml
Patritti Golden Muscatel Grape Juice (750ml),142000,VND,Patritti source the grapes for their high quality juices from South Australia’s best wine regions. They contain no added sugar and no artificial colours or flavours. We take great pride in offering a healthier and family- friendly alternative for celebratory occasions.,"Golden Muscatel Grape Juice (99,95%), carbon dioxide generating
agent (INS 290)",Drink directly or after chilling,"Store at room temperature, in a cool, dry place.",Australia,750,ml
Vichy St Yorre Mineral Sparkling Water (500ml),0,VND,Vichy St Yorre Mineral Sparkling Water is synonymous with good health,"Bicarbonate 4368, 322 chlorides, sulfates 174, fluorides",The minerals of St-Yorre are effective to rehydrate you. Drink water as needed,Store away from heat and humidity.,,500,ml
Pressade Organic Apple Nectar Juice (6x200ml),184000,VND,"The bio to take everywhere, organic briquettes convenient to slip in his pocket and take away (sport, snack, school)! With 100% natural ingredients and a good taste of fruit.","Apple juice containing concentrate, water, sugar, acidifier: citric acid. Products from organic farming.",After opening and consume within 5 days,"Store in a cool and dry place, avoid direct exposure to sunlight",,200,ml
Pressade Nectar Orange Bio (6x200ml),0,VND,"Pressade, leader in organic fruit juice, will develop the turnover of the department thanks to the range of organic juices which has everything! The right recipe: good Valencia oranges, with no pesticide residue and no added sugars: 100% ingredients of natural origin. In original packaging that respects the environment: an 85% vegetable-derived Kraft brick.","Orange juice *, water. * ingredients from Organic Farming. Fruit content 75% minimum",After opening and consume within 5 days,"Store in a cool and dry place, avoid direct exposure to sunlight",Valencia,200,ml
Pressade Organic Multifruits Nectar Juice (6x200ml),0,VND,"Pressade Multifruits is the gourmet combination of 8 fruits that gives a unique and pleasant taste, easy to consume throughout the day! A good taste of fruit, sweet and without pulp to please children and adults alike! A product certified ""Organic Agriculture"" by ECOCERT.","Juices made from concentrated juices and fruit purees (apple *, orange *, pineapple *, banana *, grape *, grapefruit *, apricot *, peach *), water, sugar * ingredients from organic farming Added sugars: 3.55 g / 100mL",After opening and consume within 5 days,"Store in a cool and dry place, avoid direct exposure to sunlight",,200,ml
Black Sheep Ale 4.4% (500ml),0,VND,"Black Sheep Ale is a full-flavoured premium bitter with a rich, fruity aroma. Brewed using generous handfuls of choice Golding hops, it has a perfectly balanced bittersweet, malty taste with a long, dry and bitter finish.","Water, Malted Barley (Gluten), Wheat (Gluten), Hops",Best Served Chilled.,Store away from direct light in a cool & dry place,,500,ml
Le Fruit Coco Water & Lime Juice (1L),63000,VND,"In the centre of Mekong Delta, we select the most delicious and freshest fruits from local family-owned farms. Coconut Water With Lime LE FRUIT is not only a special drink of Le Fruit for people who play sports, but also a natural isotonic drink providing the electrolytes and minerals for your body.
Coconut Water With Lime LE FRUIT is rich in Potassium & Magnesium.","• The percentages of ingredients including Coconut Water harvested young (98.5%), Lime (1.5%)
• Coconut Water With Lime LE FRUIT is rich in Potassium & Magnesium.
• No added preservatives and no added sugar. Additive free and GMO free.","Shake well, serve chilled",Keep in a cool & dry place. Refrigerate once opened & consume within 5 days,Centre,1,L
Newcastle Brown Ale Bottle 4.7% 550ml,242000,VND,"In 1890 five Tyneside breweries came together and after the First World War started trading under the blue five-point star. Newcastle Brown Ale was launched in 1927 after Jim Porter had spent three years developing this special brew. Almost immediately after its release, Newcastle Brown Ale won the gold medals at the International Brewers' Exhibition in London in 1928.","Water, Malted Barley, Glucose Syrup, Barley, Hops, Hop Extract",Best Served Chilled.,Store away from direct light in a cool & dry place,London,550,ml
Le Fruit Coco Water & Lime Juice (250ml),37000,VND,"In the centre of Mekong Delta, we select the most delicious and freshest fruits from local family-owned farms. Coconut Water With Lime LE FRUIT is not only a special drink of Le Fruit for people who play sports, but also a natural isotonic drink providing the electrolytes and minerals for your body.
Coconut Water With Lime LE FRUIT is rich in Potassium & Magnesium.","• The percentages of ingredients including Coconut Water harvested young (98.5%), Lime (1.5%)
• Coconut Water With Lime LE FRUIT is rich in Potassium & Magnesium.
• No added preservatives and no added sugar. Additive free and GMO free.","Shake well, serve chilled",Keep in a cool & dry place. Refrigerate once opened & consume within 5 days,Centre,250,ml
Acqua Panna Glass Bottle (750ml),66000,VND,"The source of Acqua Panna still mineral water is located at the famous Villa Panna in the hills of Tuscany. Acqua Panna has a soft, light and perfectly balanced taste which provides a long lasting sensation of smooth refreshment. Due to its unique ability to subtly cleanse the palate. esteemed sommeliers and restaurateurs affirm that Acqua Panna is the perfect mineral water to complement fine foods & wine",Mineral water 100%,Can be used instantly.,"Store at room temperature, in a cool, dry place.",,750,ml
Acqua Panna Btl (250ml),34000,VND,"The source of Acqua Panna still mineral water is located at the famous Villa Panna in the hills of Tuscany. Acqua Panna has a soft, light and perfectly balanced taste which provides a long lasting sensation of smooth refreshment. Due to its unique ability to subtly cleanse the palate. esteemed sommeliers and restaurateurs affirm that Acqua Panna is the perfect mineral water to complement fine foods & wine",Mineral water 100%,Can be used instantly.,"Store at room temperature, in a cool, dry place.",,250,ml
San Pellegrino Chinotto Btl (200ml),33000,VND,"The citrus fruits grow in the vast groves of southern Italy, in fertile soil enriched by Mt. Etna, enjoying the sunshine and gentle sea beeze.
They thrive on the beauty of this land and reflect all the goodness of nature enhanced by the typical Italian way of living, which is distinguished by authenticity, style, oy of life and conviviality.","Water, sugar, carbon dioxide, flavours, colour (caramel IV), acidity regulator (citric acid, sodium citrate), antioxidant (ascorbic acid), salt.",Can be used instantly.,"Store at room temperature, in a cool, dry place.",Italy,200,ml
San Pellegrino Limonata Btl (200ml),33000,VND,"The citrus fruits grow in the vast groves of southern Italy, in fertile soil enriched by Mt. Etna, enjoying the sunshine and gentle sea beeze.
They thrive on the beauty of this land and reflect all the goodness of nature enhanced by the typical Italian way of living, which is distinguished by authenticity, style, oy of life and conviviality.","Water, lemon juice from concentrate organic (16%), raw cane sugar organic, carbon dioxide, natural lemon flavouring, salt",Can be used instantly.,"Store at room temperature, in a cool, dry place.",Italy,200,ml
San Pellegrino Aranciata Dolce (200ml),0,VND,"The citrus fruits grow in the vast groves of southern Italy, in fertile soil enriched by Mt. Etna, enjoying the sunshine and gentle sea beeze.
They thrive on the beauty of this land and reflect all the goodness of nature enhanced by the typical Italian way of living, which is distinguished by authenticity, style, oy of life and conviviality.","Water, orange juice from concentrate organic (20%), raw cane sugar organic, carbon dioxide, orange extract organic, acid (citric acid), natural orange flavouring, salt",Can be used instantly.,"Store at room temperature, in a cool, dry place.",Italy,200,ml
San Pellegrino Pompelmo Btl (200ml),0,VND,"The citrus fruits grow in the vast groves of southern Italy, in fertile soil enriched by Mt. Etna, enjoying the sunshine and gentle sea beeze.
They thrive on the beauty of this land and reflect all the goodness of nature enhanced by the typical Italian way of living, which is distinguished by authenticity, style, oy of life and conviviality.","Water, Sugar, Grapefruit Juice From Concentrate, Natural Flavor, Carbon Dioxide, Citric Acid (Acidulant).",Can be used instantly.,"Store at room temperature, in a cool, dry place.",Italy,200,ml
"Aquafina Pure Water Bottle ,355ml",5000,VND,"The pure water of the Aquafina spring water brand is sourced from underground water, ensuring it undergoes a process of disinfection and thorough filtration to remove impurities. Aquafina 355ml purified water has reached a level of purity that effectively quenches thirst, and when consumed, it provides a slightly sweet sensation in the mouth, making it very easy to drink. The product is processed through the Hydro-7 filtration process, which includes reverse osmosis technology and other filtration steps to completely remove minerals, bacteria, and impurities from the water. As a result, it creates a perfectly refreshing purified water with a distinctly fresh taste.","Aquafina is pure drinking water treated through reverse osmosis and Ozone systems, sterilized by ultraviolet rays.",Drink directly,"Store in a cool, dry place,avoid direct sunlight, strong odors, and chemicals.",Aquafina,355,ml
San Pellegrino Aranciata Can 330ml,35000,VND,"The citrus fruits grow in the vast groves of southern Italy, in fertile soil enriched by Mt. Etna, enjoying the sunshine and gentle sea beeze.
They thrive on the beauty of this land and reflect all the goodness of nature enhanced by the typical Italian way of living, which is distinguished by authenticity, style, oy of life and conviviality.","Water, orange juice from concentrate, sugar, carbon dioxide, citric acid (acidulant) ,natural flavour.",Can be used instantly.,"Store at room temperature, in a cool, dry place.",Italy,330,ml
San Pellegrino Limonata Can 330ml,35000,VND,"The citrus fruits grow in the vast groves of southern Italy, in fertile soil enriched by Mt. Etna, enjoying the sunshine and gentle sea beeze.
They thrive on the beauty of this land and reflect all the goodness of nature enhanced by the typical Italian way of living, which is distinguished by authenticity, style, oy of life and conviviality.","Water, Lemon Juice from Concentrate, Sugar, Carbon Dioxide, Natural Flavors",Can be used instantly.,"Store at room temperature, in a cool, dry place.",Italy,330,ml
"Twister Orange Can ,320ml",10000,VND,"Extracted from fresh, pure, and nutritious orange segments, Twister orange juice is made from carefully selected natural ingredients combined with modern production technology. It offers a delicious and healthy beverage. Guaranteed authentic and safe.","Water, cane sugar, orange juice reconstituted from orange juice concentrate (10%), acidity regulators (330, 33iii), stabilizers (415, 414), Vitamin C (144 mg/l), preservatives management (202),…",Shake well before use. Tastes better when chilled,"Store in a cool, dry place, avoid direct contact with sunlight or high temperatures",,320,ml
"Aquafina Pure Water Bottle ,1.5L",11000,VND,"Aquafina, a brand of purified drinking water, is sourced from underground water and undergoes a rigorous process of disinfection and thorough filtration. The resulting 1.5-liter bottle of Aquafina Purified Drinking Water meets the highest standards of purity. When you drink it, you’ll experience a refreshing, slightly sweet sensation in your mouth, making it easy to quench your thirst. Plus, the large bottle ensures long-lasting use","Aquafina is pure drinking water treated through reverse osmosis and Ozone systems, sterilized by ultraviolet rays.",Drink directly,"Store in a cool, dry place,avoid direct sunlight, strong odors, and chemicals.",Aquafina,1.5,L
"Aquafina Pure Water Bottle ,500ml",6000,VND,"Derived from underground sources, ensured through a process of disinfection and thorough filtration to remove impurities, Aquafina 500ml of pure water has a refreshing effect, and when consumed, it leaves a slightly sweet sensation in the mouth, making it easy to drink. Its compact size makes it convenient to carry","Aquafina is pure drinking water treated through reverse osmosis and Ozone systems, sterilized by ultraviolet rays.",Drink directly,"Store in a cool, dry place,avoid direct sunlight, strong odors, and chemicals.",Aquafina,500,ml
Vichy Celestins Mineral Sparkling Water (1.25L),60000,VND,"It is rich in minerals (3,325mg/L) and contains a substantial quantity of bicarbonates (2,989mg/L). The minerals which are naturally present in Vichy Célestins mineral water interact with the components of the ingredients used in cooking, giving them unique properties.","pH (at source) 6.8,Total Dissolved Solids 3378,Calcium 90,Magnesium 9,Sodium 1265,Potassium 71,Bicarbonates 3245,Sulphates 129,Chlorides 227,Nitrates 2,silica","can be enjoyed throughout the day: in the morning it refreshes your complexion, with lunch and dinner it lightens your meal and enhances your enjoyment of each meal!",Store away from heat and humidity.,,1.25,L
Sprite (1.5L/1.85L),0,VND,Sprite (1.5L),"Saturated water CO2, acidity, natural lemon flavor, preservative, cane sugar, HFCS",Can be used instantly.,"Store at room temperature, in a cool, dry place.",,1.5,L
Pocari Sweat Supply Drink Bottle(500ml),16000,VND,"POCARI SWEAT is a healthy drink by replenishing water with vf ion the body consumes every day. With the right water and ion content, POCARI SWEAT provides fast and exactly what the body needs. When it comes to rehydration, POCARI SWEAT helps dispel thirst, which is the right choice for health.","Water, sugar, flavorings, citric acid, sodium citrate, sodium chloride, potassium chloride, DL-macid acid, calcium lactate, glucono-delta-lactone, magnesium carbonate, vitamin C","Better when drink in chilled condition
Drink promptly after opening","Refrigerate after opening
Storage at a dry, cool place, avoid direct sun
Caution: Freezing may damage this container causing contents to leak",Delta,500,ml
Red Bull Energy Drink (250ml),0,VND,"Red Bull Energy Drink is appreciated worldwide by top athletes, students, and in highly demanding professions.As we are a functional product that keeps consumers focused/alert and to boost and maintain energy levels. We understand that there are specific moments when our Red Bull can be consumed.","Water, Sucrose, Glucose, Acidulant (Citric Acid), Carbon Dioxide, Taurine (0.4%), Acidity Regulators (Sodium Bicarbonate, Magnesium Carbonate), Flavours (Natural And Artificial), Colour (Caramel), Caffeine (0.03%), Vitamins (Niacin, B6, B2, B12)",perfect for when you're in need of wings without sugar and only 15 calories per 12 fluid ounces,"Store in a cool, dry place.",Taurine,250,ml
"Oolong Tea + bottle ,450ml",10000,VND,"With a mild and refreshing sweetness, the distinctive aroma of oolong tea, combined with the active ingredient OTTP, helps limit fat absorption. Oolong Tea + soothes away worries, bringing a gentle sensation. Enjoy it daily to lighten your life. We guarantee quality and safety.","Water, sugar, oolong tea 7.52g/l (minimum extracted ottp 155mg/l), natural flavor, antioxidant, acidity regulator",Shake well before use. Tastes better when chilled,"Store in a cool, dry place, avoid direct contact with sunlight or high temperatures",,450,ml
Thwaites Lancaster Beer Btl 4.4% (500ml),0,VND,"For those occasions when you do not have the opportunity to visit your local pub, we have perfected our range of Premium Bottled Ales for you to savour and enjoy a glass of your favourite Thwaites beer in the comfort of your home.","Water, Barley, Wheat, Hops And Yeast",Best Served Chilled.,Store away from direct light in a cool & dry place,,500,ml
Greene King IPA India Pale Ale 3.6% Can (500ml),0,VND,Drawing on a heritage of brewing excellence – Greene King IPA India Pale Ale is a warming full bodied ale with a a deliciously easy-drinking and moreish pint.,Water; barley malt; yeast; natural hops.,Best Served Chilled.,Store away from direct light in a cool & dry place,India,500,ml
Wychwood Hobgoblin Beer 5.2% Btl (500ml),228000,VND,"Traditionally brewed to produce a wonderfully well balanced blend of smooth, rich & satisfying flavours from chocolate & crystal malts combined with a crisp, refreshing bitterness from Styrian, Goldings and Fuggles hops.","Water, Malted Barley, Hops, Yeast.",Best served chilled,"Store in a cool, dry place.",& crystal,500,ml
Marston's Old Empire Beer 5.7% Btl (500ml),0,VND,"A memorable and deceptively easy-drinking IPA. This is an authentic recreation of the beer style created for, and enjoyed throughout, the Empire. Goldings, Fuggles and American Cascade hops combine to give a crisp, citrus hop aroma, with a balanced, bittersweet finish.","Water, Malted Barley, Hops, Yeast.",Best served chilled,"Store in a cool, dry place.",Cascade,500,ml
Alba Sparkling Mineral Water (450ml),24000,VND,"Alba's unique product portfolio includes natural non-carbonated and carbonated mineral water known for its health and beauty benefits. Thanks to the balanced and stable mineral content, Alba natural mineral water is bottled at source, not only safe for health but also has a fresh mineral taste.","Mineral contents : Na+, K+, Ca 2+, Mg, Fe 3+, Fe2+, I-,F-,No-3 ,SO2-4, HCO-3, H2SiO3, TDS
PH: 6.5-7.5
Contains Fluoride","Use direct, do not boil","Keep in cool places, avoid direct sunlight",Alba,450,ml
Sapporo Premium Lager Can (650ml),0,VND,"SAPPORO holds a passion to bring innovation to our product and experience offering. SAPPORO PREMIUM BEER 650ml can stands out to be our icon for this passion. Inspired by the shape of the traditional beer tumbler, now has its reputation set all around the world. This special creation is now available in Vietnam to bring a perfect experience to our Vietnamese customers.","Water, Malt, Cereals, Hops.","More delicious when cold drink
Under 18 years of age must not use alcohol
Do not drive while using alcohol","Store in a cool, dry place away from sunlight",Vietnam,650,ml
Alba Natural Mineral Water (450ml),22000,VND,"Alba's unique product portfolio includes natural non-carbonated and carbonated mineral water known for its health and beauty benefits. Thanks to the balanced and stable mineral content, Alba natural mineral water is bottled at source, not only safe for health but also has a fresh mineral taste.","Mineral contents : Na+, K+, Ca 2+, Mg, Fe 3+, Fe2+, I-,F-,No-3 ,SO2-4, HCO-3, H2SiO3, TDS
PH: 6.5-7.5
Contains Fluoride","Use direct, do not boil","Keep in cool places, avoid direct sunlight",Alba,450,ml
"Pepsi Cola Sleek Can ,320ml",10000,VND,"The product from the globally renowned soft drink brand Pepsi features a delightful aroma and a blend of natural flavors, combined with a synthetic sweetener. It helps quench thirst and alleviate fatigue. The 320ml Pepsi Cola canned beverage provides an energy boost for daily work. Rest assured, it’s an authentic, high-quality, and safe soft drink","Product ingredients include C2 saturated water, sugar, natural flavor, zero protein and fat content, mainly providing the body with carbohydrates, sugar and sodium minerals._x000D_
The product has an energy content of about 140 calories","Drink directly, it will taste better when chilled, or served with ice","Store in a cool, dry place.",,320,ml
"7 Up Sleek Can ,320ml",10000,VND,"From the reputable and popular soft drink brand, the 320ml 7 Up lemon-flavored soda is authentic. 7Up has a moderately sweet taste and a refreshing fizzy flavor, helping quench thirst quickly, reducing feelings of nausea, stimulating the taste buds for better enjoyment, and providing energy.","CO2 saturated water, cane sugar, acidity regulator, natural lemon flavor...",Best when served chille,"Store in a cool, dry place.",,320,ml
Adnams Ghost Ship Beer 4.5% Btl (500ml),0,VND,"Ghost Ship is a ghostly pale ale which takes its inspiration from Adnams 600-year-old haunted pub, The Bell. Brewed with a selection of malts - Pale Ale, Rye Crystal and Cara. We use Citra, and a blend of other American hop varieties to create some great citrus flavours. Bronze Medal Winner at The International Brewing Awards, 2013.","Water, Malted Barley, Hops, Yeast.",Best served chilled,"Store in a cool, dry place.",,500,ml
Black Sheep Riggwelter Ale 5.7% Btl (500ml),0,VND,"Riggwelter Ale takes its name from a local Yorkshire Dales farming term which has Norse roots; “rygg” meaning back, and “velte” meaning to overturn. A sheep is said to be rigged or ‘riggwelted’ when it has rolled onto its back and is unable to get back up without assistance.","Hops, Malted Barley, Torrefied Wheat, Water, Yeast",Best Serve chilled.,"Store in a cool, dry place.",,500,ml
Badger Fursty Ferret Moreish & Malty Beer Bottle 4.4% (500ml,242000,VND,"Ferret comes from the Latin word for 'little thief'. When they're about you can be sure trouble's brewing. We still remember the night one such furry ne'er-do-well tiptoed into the thatched Gribble Inn and stole himself a taste of our tantalising tawny tipple, loved for its full bodied biscuity taste. Now then, what's Latin for 'little thief with great taste in beer?'","Contains Barley, Contains Sulphur Dioxide/Sulphites, May Contain Wheat",Best Served Chilled.,Store away from direct light in a cool & dry place,,500,ml
BrewDog Dead Pony Ale Beer 3.8% Btl (330ml),0,VND,"Dead Pony Club is a low amplitude, high voltage hop hit. Alive with flavour it’s hopped to the Pacific shores and back. Dive in to aromas of citrus, lemon-grass and lime zest. The toasted malt base ebbs to a huge hop hit, washing tropical fruit, floral garlands and spicy undertones all over your palate.","Water, Malted Barley, Hops, Yeast.",Best Served Chilled.,Store away from direct light in a cool & dry place,Pacific,330,ml
BrewDog Punk IPA Beer Bottle 5.6% (330ml),228000,VND,"Punk IPA is the beer that kick-started it. This light, golden classic has been subverted with new world hops to create an explosion of flavour. Bursts of caramel and tropical fruit with an all-out riot of grapefruit, pineapple and lychee, precede a spiky bitter finish.","Water, Malted Barley, Hops, Yeast",Best Served Chilled.,Store away from direct light in a cool & dry place,,330,ml
Magners Berry Cider (330ml),0,VND,"With a transparent red color and an impressive raspberry flavor, Magners beer gives diners a chance to experience this unique taste. It is a combination of flavors of the basic ingredients of beer: malt, hops, barley and purified water. This Magners line is an extra combination of raspberry, raspberry and black currant flavors.",,,,,330,ml
Carlsberg Premium Pilsner 4.8% Btl (660ml),0,VND,"Carlsberg Export is a premium-strength lager, with a refined and satisfying taste. It has deep malty notes and a distinct bitterness that generate a full-flavoured lager that is stronger in taste and mouth-feel than our standard Pilsner.","Water, Malted Barley, Hops",Best Served Chilled.,Store away from direct light in a cool & dry place,Carlsberg,660,ml
Shepherd Neame Beer 6.1% Btl (500ml),0,VND,"Shepherd Name & Co India Pale Ale delivers potent bitterness, offset with generous amounts of malt. The aromas of sweet toffee candy malt and floral hops are very noticeable on the nose followed by a medium to light body with a crisp tasting finish. Shepherd Name & Co India Pale Ale will be a perfect match to hot, spicy dishes.","Local Hops, Malted Barley, Glucose Syrup And Water",Best Serve chilled.,"Store in a cool, dry place.",India,500,ml
"Le Fruit Carrot, Orange & Pine Juice (250ml)",37000,VND,"In the centre of Mekong Delta, we select the most delicious and freshest fruits from local family-owned farms. Pineapple Carrot Orange juice is the combination of many layers of taste. Beside the unique flavor, this juice also brings many beneficial nutrients to consumers.","• 100% freshly crushed fruit including Victoria Pineapple (50%), Carrot (25%), Orange (18%), Acerola Cherry (5%), Lime (2%).
• No added preservatives and no added sugar. Additive free and GMO free.","Shake well, serve chilled",Keep in a cool & dry place. Refrigerate once opened & consume within 5 days,Victoria,250,ml
Le Fruit Mango Nectar (250ml),37000,VND,"An exotic and natural nectar of sunny and succulent mangoes. We’ve selected the sweetest and juiciest mangoes which are endemic in Vietnam.
• No added preservatives and no added sugar. Additive free and GMO free.","• 100% freshly crushed fruit including Mango (30%), Acerola Cherry (2%), cane sugar (2%) and water.
• No added preservatives and no added sugar. Additive free and GMO free.","Shake well, serve chilled",Keep in a cool & dry place. Refrigerate once opened & consume within 5 days,Vietnam,250,ml
Le Fruit Mango Nectar (1L),62000,VND,An exotic and natural nectar of sunny and succulent mangoes. We’ve selected the sweetest and juiciest mangoes which are endemic in Vietnam.,"• 100% freshly crushed fruit including mango (30%), Acerola Cherry (2%), cane sugar (2%) and water.
• No added preservatives and no added sugar. Additive free and GMO free.","Shake well, serve chilled",Keep in a cool & dry place. Refrigerate once opened & consume within 5 days,Vietnam,1,L
Budweiser Aluminum Beer 5% Bottle (355ml),44000,VND,Excellent quality consistent for 143 years and available in over 80 countries,"Water, malt, rice and hop",serve chilled,"storage in dry cool place avoiding direct sunlight, excessive heat and freezing",,355,ml
"Sting Strawberry Sleek Can ,320ml",11000,VND,"Sting Energy Drink has a delightful and refreshing flavor with a hint of pleasant strawberry. It helps replenish fluids, provides an energy boost, and supplies vitamins C and E. Sting quenches thirst and alleviates fatigue, all while maintaining a gentle and pleasant strawberry taste. The product is guaranteed to be genuine, high-quality, and safe","CO2 saturated water, acidity regulator, natural strawberry flavor mixture","Shake gently before drinking, use immediately after opening the lid. Tastes better when chilled","Store in a cool, dry place, avoid direct contact with sunlight or high temperatures",,320,ml
"Le Fruit Carrot, Orange & Pine Juice (1L)",65000,VND,"In the centre of Mekong Delta, we select the most delicious and freshest fruits from local family-owned farms. Pineapple Carrot Orange juice is the combination of many layers of taste. Beside the unique flavor, this juice also brings many beneficial nutrients to consumers.

• 100% freshly crushed fruit including Victoria Pineapple (50%), Carrot (25%), 
• Orange (18%), Acerola Cherry (5%), Lime (2%).
• No added preservatives and no added sugar. Additive free and GMO free.","• 100% freshly crushed fruit including Victoria Pineapple (50%), Carrot (25%), 
• Orange (18%), Acerola Cherry (5%), Lime (2%).
• No added preservatives and no added sugar. Additive free and GMO free.","Shake well, serve chilled",Keep in a cool & dry place. Refrigerate once opened & consume within 5 days,Victoria,1,L
Coca Light Sleek Can (320ml),11000,VND,Coca Light Sleek Can (320ml),"Saturated water CO2, food coloring, acidity regulator, synthetic sweetener, preservative, natural cola flavor and caffeine.",Can be used instantly.,"Store at room temperature, in a cool, dry place.",,320,ml
Sting Energy Drink Sleek Can (320ml),11000,VND,"Sting, an energy drink, combines natural ingredients with the delightful flavor of ginseng. This unique blend offers a refreshing and pleasant taste. The product helps replenish fluids, provides an energy boost, and supplies vitamins C and E. It effectively quenches thirst and alleviates fatigue, leaving you feeling invigorated.","CO2 saturated water, cane sugar, acidity regulator, natural & synthetic flavor mixture, premix mixture, vitamins,...","Shake gently before drinking, use immediately after opening the lid. Tastes better when chilled","Store in a cool, dry place, avoid direct contact with sunlight or high temperatures",,320,ml
Coca Cola Sleek Can (320ml),10000,VND,Coca Cola Sleek Can (320ml),"Saturated water CO2, HFCS sugar, cane sugar, food coloring, acidity regulator, natural cola flavor, caffeine.",Can be used instantly.,"Store at room temperature, in a cool, dry place.",,320,ml
